B0C7KBN4V1,0001 Cable,0.5
B0CG9V891L,00305 Computer Consoles,1.4
B0C3W69P5S,00305 Computer Consoles,1.4
B0DCP7H3Q5,00305 Computer Consoles,1.4
B0BHWK31F1,00305 Computer Consoles,1.4
B08JDSW1ZW,00305 Computer Consoles,1.4
B08H93ZRLL,00305 Computer Consoles,1.4
B08JDTCXRG,00305 Computer Consoles,1.4
B0CJCHDZ74,00305 Computer Consoles,1.4
B087VM5XC6,00305 Computer Consoles,1.4
B0BTCP2PH2,00305 Computer Consoles,1.4
B0CJCGJBWR,00305 Computer Consoles,1.4
B0DGXTKZ42,00305 Computer Consoles,1.4
B0CFB4YT4S,00399 Other Consoles,0.9
B0CMBZQXFH,00399 Other Consoles,0.9
B09CH1R67T,010 Consumer Inkjet Printers,0.9
B07V7MB8L2,010 Consumer Inkjet Printers,0.9
B09GKWQJJQ,010 Consumer Inkjet Printers,0.9
B09GFZG7H7,010 Consumer Inkjet Printers,0.9
B09HCJX43G,010 Consumer Inkjet Printers,0.9
B09128YQHG,010 Consumer Inkjet Printers,0.9
B07Y9YPDZX,010 Consumer Inkjet Printers,0.9
B085HC5LCJ,010 Consumer Inkjet Printers,0.9
B09GPQTK7L,010 Consumer Inkjet Printers,0.9
B01EL0O98S,010 Consumer Inkjet Printers,0.9
B09H7NS62Q,010 Consumer Inkjet Printers,0.9
B01NAMG6CF,010 Consumer Inkjet Printers,0.9
B0CPPKNRLJ,010 Consumer Inkjet Printers,0.9
B0BN96SFTJ,010 Consumer Inkjet Printers,0.9
B09GL23WKB,010 Consumer Inkjet Printers,0.9
B08FCQS52C,010 Consumer Inkjet Printers,0.9
B0CH8J3TV4,010 Consumer Inkjet Printers,0.9
B09M8FR46T,010 Consumer Inkjet Printers,0.9
B00HZDLDK6,010 Consumer Inkjet Printers,0.9
B09RMHWMYR,010 Consumer Inkjet Printers,0.9
B09GFV2ZD5,010 Consumer Inkjet Printers,0.9
B085GMZL36,010 Consumer Inkjet Printers,0.9
B075T2GFH7,010 Consumer Inkjet Printers,0.9
B08LQVKQS9,010 Consumer Inkjet Printers,0.9
B08NCL135Q,010 Consumer Inkjet Printers,0.9
B08NFHKTJQ,010 Consumer Inkjet Printers,0.9
B00HZDLDF6,010 Consumer Inkjet Printers,0.9
B01IQS8UHC,010 Consumer Inkjet Printers,0.9
B09GB67ZVX,010 Consumer Inkjet Printers,0.9
B0CQ2JVQKC,010 Consumer Inkjet Printers,0.9
B0CH8G2JDB,010 Consumer Inkjet Printers,0.9
B018EMWWVK,010 Consumer Inkjet Printers,0.9
B09GB6CD1P,010 Consumer Inkjet Printers,0.9
B0BN985GN1,010 Consumer Inkjet Printers,0.9
B093QG1Y8C,010 Consumer Inkjet Printers,0.9
B09GFVDPHK,010 Consumer Inkjet Printers,0.9
B01GZ1S6PI,010 Consumer Inkjet Printers,0.9
B09CL9DV5N,010 Consumer Inkjet Printers,0.9
B085S4GL8G,010 Consumer Inkjet Printers,0.9
B0CPPLD6B2,010 Consumer Inkjet Printers,0.9
B0CH8DKHDY,010 Consumer Inkjet Printers,0.9
B0CH8FDJ2Q,010 Consumer Inkjet Printers,0.9
B09MZN9W9L,010 Consumer Inkjet Printers,0.9
B08Y98MLMG,010 Consumer Inkjet Printers,0.9
B09GFW8FLZ,010 Consumer Inkjet Printers,0.9
B0CT917KXW,010 Consumer Inkjet Printers,0.9
B08PDPWYF5,0103 Coffee Machines,0.5
B0CLVNW9ZJ,0104 Deep Fryers,1
B0CGZJ6SZR,0104 Deep Fryers,1
B0CXLX89FB,0104 Deep Fryers,1
B0CJTH5FM4,0104 Deep Fryers,1.2
B0CF9TPSH9,0104 Deep Fryers,1
B0D2R36312,0104 Deep Fryers,1
B074WBQZB1,0104 Deep Fryers,1
B0CLTYSP61,0104 Deep Fryers,1
B0BQB4755K,0104 Deep Fryers,1
B0D8KR18JK,0104 Deep Fryers,1
